îN/åé, ïΩãœç≈çÇãCâ∑, ïΩãœç≈í·ãCâ∑, ïΩãœç~êÖó 
2018/1, 8.038710, 0.738710, 1.370968
2018/2, 9.335714, 0.410714, 0.839286
2018/3, 17.045161, 5.603226, 5.064516
2018/4, 22.536667, 11.066667, 5.366667
2018/5, 25.332258, 15.451613, 6.032258
2018/6, 28.266667, 19.386667, 6.966667
2018/7, 35.041935, 25.787097, 11.887097
2018/8, 34.990323, 25.522581, 3.629032
2018/9, 27.363333, 20.630000, 13.016667
2018/10, 23.635484, 14.716129, 1.145161
2018/11, 18.266667, 9.490000, 0.750000
2018/12, 12.064516, 4.883871, 1.951613
2019/1, 9.206452, 1.890323, 0.806452
2019/2, 11.153571, 3.514286, 1.464286
2019/3, 14.767742, 5.067742, 2.209677
2019/4, 19.530000, 8.916667, 3.566667
2019/5, 26.970968, 15.190323, 2.725806
2019/6, 28.643333, 19.670000, 4.683333
2019/7, 30.829032, 23.300000, 6.887097
2019/8, 34.316129, 25.725806, 11.451613
2019/9, 31.050000, 22.790000, 2.816667
2019/10, 24.235484, 16.609677, 6.935484
2019/11, 17.886667, 8.853333, 0.850000
2019/12, 12.322581, 4.725806, 1.532258
2020/1, 11.164516, 4.293548, 2.064516
2020/2, 11.344828, 3.268966, 1.913793
2020/3, 15.803226, 6.190323, 2.967742
2020/4, 18.343333, 8.060000, 4.050000
2020/5, 26.196774, 15.938710, 3.677419
2020/6, 29.383333, 20.763333, 8.350000
2020/7, 29.477419, 23.022581, 17.806452
2020/8, 36.238710, 26.403226, 1.467742
2020/9, 30.086667, 22.066667, 3.800000
2020/10, 22.735484, 14.161290, 5.532258
2020/11, 18.596667, 9.396667, 1.366667
2020/12, 11.867742, 3.551613, 0.741935
2021/1, 9.490323, 1.632258, 1.790323
2021/2, 12.846429, 3.210714, 1.928571
2021/3, 17.496774, 6.593548, 4.612903
2021/4, 20.736667, 9.683333, 6.733333
2021/5, 24.387097, 15.083871, 7.370968
2021/6, 28.903333, 19.823333, 4.266667
2021/7, 32.800000, 24.522581, 12.580645
2021/8, 32.270968, 24.535484, 15.112903
2021/9, 28.763333, 21.466667, 5.983333
2021/10, 24.732258, 15.622581, 1.322581
2021/11, 18.366667, 8.616667, 2.250000
2021/12, 11.703226, 3.745161, 2.467742
2022/1, 8.222581, 1.045161, 1.241935
2022/2, 9.510714, 0.689286, 0.607143
2022/3, 15.661290, 5.987097, 2.870968
2022/4, 22.363333, 11.473333, 4.250000
2022/5, 25.674194, 14.567742, 2.596774
2022/6, 29.460000, 20.293333, 4.183333
2022/7, 33.045161, 24.667742, 9.758065
2022/8, 34.174194, 25.506452, 9.193548
2022/9, 30.633333, 22.226667, 6.583333
2022/10, 23.348387, 13.951613, 2.983871
2022/11, 19.283333, 9.920000, 2.633333
2022/12, 10.825806, 2.835484, 0.806452
